window,agent,p50_ms,p99_ms,rupees_per_hour,slo_miss_min,local_pct,mean_reward,start_minute,seed
train,forced_local,39.4,855.3,0.0,322,100.0,-2.002,29091,0
train,Weighted_Agent,40.1,856.4,159.8,325,24.4,-4.679,29091,0
train,aws_envoy,39.2,855.4,17.4,324,91.8,-2.298,29091,0
train,forced_local,42.4,2204.6,0.0,44,100.0,-0.689,16183,1
train,Weighted_Agent,27.9,181.2,328.0,1,24.4,-5.675,16183,1
train,aws_envoy,32.4,1244.4,35.7,11,91.8,-0.907,16183,1
train,forced_local,36.1,894.5,0.0,152,100.0,-1.221,28645,2
train,Weighted_Agent,37.1,895.8,114.8,154,24.4,-3.145,28645,2
train,aws_envoy,36.1,894.7,12.5,153,91.8,-1.433,28645,2
train,forced_local,38.8,811.7,0.0,232,100.0,-1.674,27753,3
train,Weighted_Agent,39.5,813.0,155.6,234,24.4,-4.279,27753,3
train,aws_envoy,38.6,811.9,16.9,233,91.8,-1.96,27753,3
train,forced_local,21.5,410.5,0.0,0,100.0,-0.504,24844,4
train,Weighted_Agent,21.9,411.7,162.8,0,24.4,-3.222,24844,4
train,aws_envoy,21.1,410.7,17.7,0,91.8,-0.8,24844,4
test,forced_local,21.9,728.4,0.0,6,100.0,-0.49,42828,0
test,Weighted_Agent,23.0,730.1,136.6,6,24.4,-2.771,42828,0
test,aws_envoy,21.9,728.8,14.8,6,91.8,-0.738,42828,0
test,forced_local,71.6,811.3,0.0,122,100.0,-1.026,39159,1
test,Weighted_Agent,71.7,812.6,233.3,124,24.4,-4.926,39159,1
test,aws_envoy,71.0,811.5,25.4,122,91.8,-1.449,39159,1
test,forced_local,21.5,728.4,0.0,6,100.0,-0.47,42701,2
test,Weighted_Agent,22.6,730.1,139.6,6,24.4,-2.802,42701,2
test,aws_envoy,21.5,728.8,15.2,6,91.8,-0.723,42701,2
test,forced_local,30.2,469.2,0.0,0,100.0,-0.5,42447,3
test,Weighted_Agent,31.0,470.6,200.6,0,24.4,-3.851,42447,3
test,aws_envoy,30.1,469.5,21.8,0,91.8,-0.865,42447,3
test,forced_local,25.1,774.4,0.0,4,100.0,-0.372,41621,4
test,Weighted_Agent,21.7,540.9,235.4,0,24.4,-4.27,41621,4
test,aws_envoy,22.5,539.7,25.6,0,91.8,-0.77,41621,4
