window,agent,p50_ms,p99_ms,rupees_per_hour,slo_miss_min,local_pct,mean_reward,seed
normal,forced_local,21.9,728.4,0.0,6,100.0,-0.49,0
normal,Weighted_Agent,23.0,730.1,136.6,6,24.4,-2.771,0
normal,aws_envoy,21.9,728.8,14.8,6,91.8,-0.738,0
normal,zoneheal,21.9,728.9,9.4,6,95.6,-0.646,0
normal,forced_local,71.6,811.3,0.0,122,100.0,-1.026,1
normal,Weighted_Agent,71.7,812.6,233.3,124,24.4,-4.926,1
normal,aws_envoy,71.0,811.5,25.4,122,91.8,-1.45,1
normal,zoneheal,71.4,812.2,68.8,123,77.5,-2.172,1
normal,forced_local,21.5,728.4,0.0,6,100.0,-0.47,2
normal,Weighted_Agent,22.6,730.1,139.6,6,24.4,-2.802,2
normal,aws_envoy,21.5,728.8,15.2,6,91.8,-0.723,2
normal,zoneheal,21.6,728.9,9.0,6,95.9,-0.619,2
normal,forced_local,30.2,469.2,0.0,0,100.0,-0.501,3
normal,Weighted_Agent,31.0,470.6,200.6,0,24.4,-3.851,3
normal,aws_envoy,30.1,469.5,21.8,0,91.8,-0.865,3
normal,zoneheal,30.2,469.2,1.9,0,99.3,-0.532,3
normal,forced_local,25.1,774.4,0.0,4,100.0,-0.359,4
normal,Weighted_Agent,21.7,540.9,235.4,0,24.4,-4.27,4
normal,aws_envoy,22.5,539.7,25.6,0,91.8,-0.77,4
normal,zoneheal,22.0,539.4,39.0,0,90.9,-0.994,4
brownout,forced_local,94.9,3151.0,0.0,316,100.0,-2.572,0
brownout,Weighted_Agent,80.9,2696.1,136.6,310,24.4,-4.893,0
brownout,aws_envoy,87.1,2910.5,14.8,313,91.8,-2.674,0
brownout,zoneheal,66.7,2221.7,67.2,300,61.7,-3.121,0
brownout,forced_local,312.2,3511.0,0.0,349,100.0,-3.583,1
brownout,Weighted_Agent,261.6,3003.4,233.3,265,24.4,-7.17,1
brownout,aws_envoy,285.2,3242.4,25.4,298,91.8,-3.794,1
brownout,zoneheal,213.4,2606.1,73.5,305,74.3,-4.211,1
brownout,forced_local,93.2,3151.0,0.0,321,100.0,-2.495,2
brownout,Weighted_Agent,79.4,2696.1,139.6,315,24.4,-4.882,2
brownout,aws_envoy,85.4,2910.5,15.2,316,91.8,-2.609,2
brownout,zoneheal,64.3,2221.7,69.9,291,61.1,-3.116,2
brownout,forced_local,131.9,2029.2,0.0,360,100.0,-2.752,3
brownout,Weighted_Agent,110.8,1736.4,200.6,348,24.4,-6.168,3
brownout,aws_envoy,120.6,1873.9,21.8,358,91.8,-2.966,3
brownout,zoneheal,96.7,1870.6,69.0,342,72.4,-3.522,3
brownout,forced_local,113.1,3615.5,0.0,281,100.0,-2.102,4
brownout,Weighted_Agent,76.6,1996.7,235.4,169,24.4,-5.661,4
brownout,aws_envoy,93.7,2155.3,25.6,208,91.8,-2.307,4
brownout,zoneheal,96.8,2083.3,37.0,216,88.1,-2.487,4
